,County|Prec,Type,Context
2022,NORTHAMPTON|OS.OFFICE,COUNTY_LEVEL,OS.OFFICE
2023,NORTHAMPTON|WOODLA,PERFECT_MATCH,NORTHAMPTON|WOODLA
2024,NORTHAMPTON|RICH.S,PERFECT_MATCH,NORTHAMPTON|RICH.S
2025,NORTHAMPTON|SEVERN,PERFECT_MATCH,NORTHAMPTON|SEVERN
2026,NORTHAMPTON|GASTON,PERFECT_MATCH,NORTHAMPTON|GASTON
2027,MOORE|PBF,PERFECT_MATCH,MOORE|PBF
2028,MOORE|DHR,PERFECT_MATCH,MOORE|DHR
2029,MOORE|WAB,PERFECT_MATCH,MOORE|WAB
2030,MOORE|OS.WE.M100,COUNTY_LEVEL,OS.WE.M100
2031,MOORE|SSP,PERFECT_MATCH,MOORE|SSP
2032,MOORE|SLS,PERFECT_MATCH,MOORE|SLS
2033,MOORE|PHC,PERFECT_MATCH,MOORE|PHC
2034,MOORE|EWD,PERFECT_MATCH,MOORE|EWD
2035,MOORE|BEN,PERFECT_MATCH,MOORE|BEN
2036,MOORE|VSS,PERFECT_MATCH,MOORE|VSS
2037,MOORE|EAB,PERFECT_MATCH,MOORE|EAB
2038,MOORE|ABSENTEE,COUNTY_LEVEL,ABSENTEE
2039,MOORE|EUR,,
2040,MOORE|WKWD,PERFECT_MATCH,MOORE|WKWD
2041,MOORE|PHB2,PERFECT_MATCH,MOORE|PHB2
2042,MOORE|OS.AG.M100,COUNTY_LEVEL,OS.AG.M100
2043,MOORE|CAR,PERFECT_MATCH,MOORE|CAR
2044,MOORE|CAM,PERFECT_MATCH,MOORE|CAM
2045,MOORE|LTR,PERFECT_MATCH,MOORE|LTR
2046,MOORE|NSP,PERFECT_MATCH,MOORE|NSP
2047,MOORE|WND,PERFECT_MATCH,MOORE|WND
2048,MOORE|TLT,PERFECT_MATCH,MOORE|TLT
2049,MOORE|PDN,PERFECT_MATCH,MOORE|PDN
2050,MOORE|PHA1,PERFECT_MATCH,MOORE|PHA1
2051,MOORE|PHB1,PERFECT_MATCH,MOORE|PHB1
2052,MOORE|PHA2,PERFECT_MATCH,MOORE|PHA2
2053,MOORE|PROVISIONAL,COUNTY_LEVEL,PROVISIONAL
2054,MOORE|WEM,PERFECT_MATCH,MOORE|WEM
2055,MOORE|RBN,PERFECT_MATCH,MOORE|RBN
2056,MOORE|EKWD,PERFECT_MATCH,MOORE|EKWD
2057,ORANGE|GL,PERFECT_MATCH,ORANGE|GL
2058,ORANGE|PROVISIONAL,COUNTY_LEVEL,PROVISIONAL
2059,ORANGE|OS.SC,COUNTY_LEVEL,OS.SC
2060,ORANGE|SJ,PERFECT_MATCH,ORANGE|SJ
2061,ORANGE|OS.COTC,COUNTY_LEVEL,OS.COTC
2062,ORANGE|GB,PERFECT_MATCH,ORANGE|GB
2063,ORANGE|DM,PERFECT_MATCH,ORANGE|DM
2064,ORANGE|BP,PERFECT_MATCH,ORANGE|BP
2065,ORANGE|DA,PERFECT_MATCH,ORANGE|DA
2066,ORANGE|LI,PERFECT_MATCH,ORANGE|LI
2067,ORANGE|CW,PERFECT_MATCH,ORANGE|CW
2068,ORANGE|ES,PERFECT_MATCH,ORANGE|ES
2069,ORANGE|WC,PERFECT_MATCH,ORANGE|WC
2070,ORANGE|NS,PERFECT_MATCH,ORANGE|NS
2071,ORANGE|TH,PERFECT_MATCH,ORANGE|TH
2072,ORANGE|RF,PERFECT_MATCH,ORANGE|RF
2073,ORANGE|CS1,PERFECT_MATCH,ORANGE|CS1
2074,ORANGE|LC,PERFECT_MATCH,ORANGE|LC
2075,ORANGE|OW,PERFECT_MATCH,ORANGE|OW
2076,ORANGE|OS.ER,COUNTY_LEVEL,OS.ER
2077,ORANGE|OG,PERFECT_MATCH,ORANGE|OG
2078,ORANGE|CB,PERFECT_MATCH,ORANGE|CB
2079,ORANGE|SM,PERFECT_MATCH,ORANGE|SM
2080,ORANGE|BC,PERFECT_MATCH,ORANGE|BC
2081,ORANGE|KM,PERFECT_MATCH,ORANGE|KM
2082,ORANGE|WD,PERFECT_MATCH,ORANGE|WD
2083,ORANGE|PA,PERFECT_MATCH,ORANGE|PA
2084,ORANGE|NC,PERFECT_MATCH,ORANGE|NC
2085,ORANGE|CP,PERFECT_MATCH,ORANGE|CP
2086,ORANGE|CG,PERFECT_MATCH,ORANGE|CG
2087,ORANGE|WH,PERFECT_MATCH,ORANGE|WH
2088,ORANGE|TO,PERFECT_MATCH,ORANGE|TO
